team_short,team_full,average_spread,adjusted_spread,avg_point_margin
DET,Detroit Lions,-5.29,5.29,11.6
BUF,Buffalo Bills,-3.91,3.91,9.6
PHI,Philadelphia Eagles,-3.97,3.97,9.4
BAL,Baltimore Ravens,-6.18,6.18,8.9
TB,Tampa Bay Buccaneers,-1.53,1.53,6.3
GB,Green Bay Packers,-2.68,2.68,6.1
WAS,Washington Commanders,-1.59,1.59,5.8
DEN,Denver Broncos,-0.09,0.09,5
MIN,Minnesota Vikings,-2.24,2.24,4.6
LAC,Los Angeles Chargers,-1.88,1.88,4.5
KC,Kansas City Chiefs,-4.24,4.24,3.8
CIN,Cincinnati Bengals,-3.09,3.09,2.2
ARI,Arizona Cardinals,0.73,-0.73,1.2
PIT,Pittsburgh Steelers,0.15,-0.15,1.1
HOU,Houston Texans,-1.59,1.59,0.6
SEA,Seattle Seahawks,0,0,0.4
LAR,Los Angeles Rams,0.65,-0.65,-0.4
MIA,Miami Dolphins,-0.85,0.85,-1.1
ATL,Atlanta Falcons,-1.62,1.62,-2
SF,San Francisco 49ers,-2.44,2.44,-2.8
IND,Indianapolis Colts,1.03,-1.03,-2.9
CHI,Chicago Bears,2.68,-2.68,-3.5
NO,New Orleans Saints,3.15,-3.15,-3.5
NYJ,New York Jets,-0.97,0.97,-3.9
JAX,Jacksonville Jaguars,2.59,-2.59,-6.8
DAL,Dallas Cowboys,3.15,-3.15,-6.9
LVR,Las Vegas Raiders,4.68,-4.68,-7.4
NE,New England Patriots,6.06,-6.06,-7.5
NYG,New York Giants,4.97,-4.97,-8.4
TEN,Tennessee Titans,3.32,-3.32,-8.8
CLE,Cleveland Browns,4.12,-4.12,-10.4
CAR,Carolina Panthers,6.88,-6.88,-11.4